Calinski Harabasz, (CH)
Number of cluster: 14,0.0015949
Number of cluster: 15,0.00181488
Number of cluster: 16,0.00179533
Number of cluster: 17,0.00205761
Number of cluster: 18,0.00193424
Number of cluster: 19,0.00205761
Number of cluster: 20,0.00205761
Number of cluster: 21,0.00205761
Number of cluster: 22,0.00205761
Number of cluster: 23,0.00220264
Number of cluster: 24,0.00228311
Number of cluster: 25,0.00228311
Number of cluster: 26,0.00228311
Number of cluster: 27,0.00235294
Number of cluster: 28,0.00214592
Number of cluster: 29,0.00214592
Number of cluster: 30,0.00243309
Number of cluster: 31,0.00243309
Number of cluster: 32,0.00235294
Number of cluster: 33,0.00229358
Number of cluster: 34,0.00247525
Number of cluster: 35,0.00249377
Number of cluster: 36,0.0026178
Number of cluster: 37,0.0026178
Number of cluster: 38,0.00245098
Number of cluster: 39,0.00245098
Number of cluster: 40,0.00243309
Number of cluster: 41,0.0026178
Number of cluster: 42,0.00243309
Number of cluster: 43,0.00277008
Number of cluster: 44,0.00310559
Number of cluster: 45,0.0026178
Number of cluster: 46,0.00271739
Number of cluster: 47,0.00301205
Number of cluster: 48,0.00271739
Number of cluster: 49,0.00271739
Number of cluster: 50,0.00301205
Number of cluster: 51,0.00277008
Number of cluster: 52,0.00309598
Number of cluster: 53,0.00271739
Number of cluster: 54,0.00271739
Number of cluster: 55,0.00271739
Number of cluster: 56,0.00310559
Number of cluster: 57,0.00310559
Number of cluster: 58,0.00271739
Number of cluster: 59,0.002849
Number of cluster: 60,0.00303951
Number of cluster: 61,0.00310559
Number of cluster: 62,0.00310559
Number of cluster: 63,0.00310559
Number of cluster: 64,0.00310559
Number of cluster: 65,0.00310559
Number of cluster: 66,0.00310559
Number of cluster: 67,0.00333333
Number of cluster: 68,0.00310559
Number of cluster: 69,0.003861
Number of cluster: 70,0.00390625
Number of cluster: 71,0.003861
Number of cluster: 72,0.003861
Number of cluster: 73,0.00383142
Number of cluster: 74,0.003861
Number of cluster: 75,0.003861
Number of cluster: 76,0.00421941
Number of cluster: 77,0.004
Number of cluster: 78,0.00421941
Number of cluster: 79,0.00423729
Number of cluster: 80,0.00420168
Number of cluster: 81,0.00423729
Number of cluster: 82,0.004
Number of cluster: 83,0.004329
Number of cluster: 84,0.00414938
Number of cluster: 85,0.004
Number of cluster: 86,0.00389105
Number of cluster: 87,0.004329
Number of cluster: 88,0.004329
Number of cluster: 89,0.004329
Number of cluster: 90,0.00452489
Number of cluster: 91,0.00452489
Number of cluster: 92,0.00452489
Number of cluster: 93,0.00452489
